x,y,r (pixel),is_circle,r (um),group
208,390,62,unmarked,182.9,275
466,110,62,unmarked,182.9,276
198,74,60,unmarked,177.0,277
416,632,44,unmarked,129.8,278
720,226,31,unmarked,91.45,279
350,632,72,unmarked,212.4,280
524,410,68,unmarked,200.60000000000002,281
456,150,67,unmarked,197.65,282
314,270,59,unmarked,174.05,283
280,374,57,unmarked,168.15,284
444,384,49,unmarked,144.55,285
126,40,41,unmarked,120.95,286
330,232,72,unmarked,212.4,287
540,400,67,unmarked,197.65,288
394,172,63,unmarked,185.85000000000002,289
260,144,92,unmarked,271.40000000000003,290
198,166,87,unmarked,256.65000000000003,291
504,236,77,unmarked,227.15,292
64,314,63,unmarked,185.85000000000002,293
614,370,62,unmarked,182.9,294
788,474,47,unmarked,138.65,295
574,584,44,unmarked,129.8,296
134,324,38,unmarked,112.10000000000001,297
602,32,106,unmarked,312.70000000000005,298
350,416,70,unmarked,206.5,299
108,254,65,unmarked,191.75,300
54,424,59,unmarked,174.05,301
304,346,58,unmarked,171.10000000000002,302
724,626,57,unmarked,168.15,303
440,358,56,unmarked,165.20000000000002,304
72,612,77,unmarked,227.15,305
82,432,66,unmarked,194.70000000000002,306
546,196,64,unmarked,188.8,307
536,140,60,unmarked,177.0,308
574,294,57,unmarked,168.15,309
766,492,48,unmarked,141.60000000000002,310
114,458,42,unmarked,123.9,311
422,654,36,unmarked,106.2,312
302,60,87,unmarked,256.65000000000003,313
362,174,70,unmarked,206.5,314
728,108,68,unmarked,200.60000000000002,315
714,148,60,unmarked,177.0,316
68,572,56,unmarked,165.20000000000002,317
506,50,49,unmarked,144.55,318
60,218,40,unmarked,118.0,319
106,486,56,unmarked,165.20000000000002,320
24,432,44,unmarked,129.8,321
314,642,80,unmarked,236.0,322
96,408,63,unmarked,185.85000000000002,323
380,522,61,unmarked,179.95000000000002,324
532,316,54,unmarked,159.3,325
740,508,44,unmarked,129.8,326
824,168,89,unmarked,262.55,327
26,610,73,unmarked,215.35000000000002,328
800,636,47,unmarked,138.65,329
260,580,27,unmarked,79.65,330
614,52,80,unmarked,236.0,331
138,230,54,unmarked,159.3,332
564,398,52,unmarked,153.4,333
372,358,48,unmarked,141.60000000000002,334
556,104,67,unmarked,197.65,335
222,168,63,unmarked,185.85000000000002,336
782,228,62,unmarked,182.9,337
